"morphology","valid start year","valid end year","start year","end year","same primary"
"9596/3","2001",,"2001","2009","9717/3"
"9596/3","2001",,"2001","2009","9718/3"
"9596/3","2001",,"2001","2009","9719/3"
"9596/3","2001",,"2001","2009","9727/3"
"9596/3","2001",,"2001","2009","9728/3"
"9596/3","2001",,"2001","2009","9729/3"
"9596/3","2001",,"2001","2009","9760/3"
"9596/3","2001",,"2001","2009","9761/3"
"9596/3","2001",,"2001","2009","9762/3"
"9596/3","2001",,"2001","2009","9764/3"
"9596/3","2001",,"2001","2009","9800/3"
"9596/3","2001",,"2001","2009","9801/3"
"9596/3","2001",,"2001","2009","9820/3"
"9596/3","2001",,"2001","2009","9823/3"
"9596/3","2001",,"2001","2009","9826/3"
"9596/3","2001",,"2001","2009","9827/3"
"9596/3","2001",,"2001","2009","9835/3"
"9596/3","2001",,"2001","2009","9836/3"
"9596/3","2001",,"2001","2009","9837/3"
"9591/3","2001",,"2001",,"9590/3"
"9591/3","2001",,"2001",,"9596/3"
"9591/3","2001",,"2010",,"9597/3"
"9591/3","2001",,"2001",,"9670/3"
"9591/3","2001",,"2001",,"9671/3"
"9591/3","2001",,"2001",,"9673/3"
"9591/3","2001",,"2001",,"9675/3"
"9591/3","2001",,"2001",,"9678/3"
"9591/3","2001",,"2001",,"9679/3"
"9591/3","2001",,"2001",,"9680/3"
"9591/3","2001",,"2001",,"9684/3"
"9591/3","2001",,"2001",,"9687/3"
"9591/3","2001",,"2010",,"9688/3"
"9591/3","2001",,"2001",,"9689/3"
"9591/3","2001",,"2001",,"9690/3"
"9591/3","2001",,"2001",,"9691/3"
"9591/3","2001",,"2001",,"9695/3"
"9591/3","2001",,"2001",,"9698/3"
"9591/3","2001",,"2001",,"9699/3"
"9591/3","2001",,"2001",,"9700/3"
"9591/3","2001",,"2001",,"9701/3"
"9591/3","2001",,"2001",,"9702/3"
"9591/3","2001",,"2001",,"9705/3"
"9591/3","2001",,"2001",,"9708/3"
"9591/3","2001",,"2001",,"9709/3"
"9591/3","2001",,"2010",,"9712/3"
"9591/3","2001",,"2001",,"9714/3"
"9591/3","2001",,"2021",,"9715/3"
"9591/3","2001",,"2001",,"9716/3"
"9591/3","2001",,"2001",,"9717/3"
"9591/3","2001",,"2001",,"9718/3"
"9591/3","2001",,"2001",,"9719/3"
"9591/3","2001",,"2010",,"9724/3"
"9591/3","2001",,"2010",,"9725/3"
"9591/3","2001",,"2010",,"9726/3"
"9591/3","2001",,"2001",,"9727/3"
"9591/3","2001",,"2001",,"9728/3"
"9591/3","2001",,"2001",,"9729/3"
"9591/3","2001",,"2010",,"9735/3"
"9591/3","2001",,"2010",,"9737/3"
"9591/3","2001",,"2010",,"9738/3"
"9591/3","2001",,"2001","2009","9757/3"
"9591/3","2001",,"2001","2009","9758/3"
"9591/3","2001",,"2001","2009","9760/3"
"9591/3","2001",,"2001",,"9761/3"
"9591/3","2001",,"2001","2009","9762/3"
"9591/3","2001",,"2001",,"9764/3"
"9591/3","2001",,"2021",,"9766/3"
"9591/3","2001",,"2001","2009","9800/3"
"9591/3","2001",,"2001","2009","9801/3"
"9591/3","2001",,"2001","2009","9805/3"
