morphology,valid start year,valid end year,start year,end year,transform from
9895/3,2001,,2021,,9993/3
9872/3,1978,,2010,,9875/3
9872/3,1978,,2010,,9920/3
9872/3,1978,,2010,,9945/3
9872/3,1978,,2010,,9950/3
9872/3,1978,,2010,,9960/3
9872/3,1978,,2010,,9961/3
9872/3,1978,,2010,,9962/3
9872/3,1978,,2010,,9963/3
9872/3,1978,,2010,,9964/3
9872/3,1978,,2010,,9975/3
9872/3,1978,,2010,,9980/3
9872/3,1978,,2010,,9982/3
9872/3,1978,,2010,,9983/3
9872/3,1978,,2010,,9984/3
9872/3,1978,,2010,,9985/3
9872/3,1978,,2010,,9986/3
9872/3,1978,,2010,,9987/3
9872/3,1978,,2010,,9989/3
9872/3,1978,,2010,,9991/3
9872/3,1978,,2010,,9992/3
9872/3,1978,,2021,,9993/3
9874/3,1978,,2010,,9875/3
9874/3,1978,,2010,,9920/3
9874/3,1978,,2010,,9945/3
9874/3,1978,,2010,,9950/3
9874/3,1978,,2010,,9960/3
9874/3,1978,,2010,,9961/3
9874/3,1978,,2010,,9962/3
9874/3,1978,,2010,,9963/3
9874/3,1978,,2010,,9964/3
9874/3,1978,,2010,,9975/3
9874/3,1978,,2010,,9980/3
9874/3,1978,,2010,,9982/3
9874/3,1978,,2010,,9983/3
9874/3,1978,,2010,,9984/3
9874/3,1978,,2010,,9985/3
9874/3,1978,,2010,,9986/3
9874/3,1978,,2010,,9987/3
9874/3,1978,,2010,,9989/3
9874/3,1978,,2010,,9991/3
9874/3,1978,,2010,,9992/3
9874/3,1978,,2021,,9993/3
9873/3,2001,,2010,,9875/3
9873/3,2001,,2010,,9920/3
9873/3,2001,,2010,,9945/3
9873/3,2001,,2010,,9950/3
9873/3,2001,,2010,,9960/3
9873/3,2001,,2010,,9961/3
9873/3,2001,,2010,,9962/3
9873/3,2001,,2010,,9963/3
9873/3,2001,,2010,,9964/3
9873/3,2001,,2010,,9975/3
9873/3,2001,,2010,,9980/3
9873/3,2001,,2010,,9982/3
9873/3,2001,,2010,,9983/3
9873/3,2001,,2010,,9984/3
9873/3,2001,,2010,,9985/3
9873/3,2001,,2010,,9986/3
9873/3,2001,,2010,,9987/3
9873/3,2001,,2010,,9989/3
9873/3,2001,,2010,,9991/3
9873/3,2001,,2010,,9992/3
9873/3,2001,,2021,,9993/3
9840/3,2001,,2010,,9875/3
9840/3,2001,,2010,,9920/3
9840/3,2001,,2010,,9945/3
9840/3,2001,,2010,,9950/3
9840/3,2001,,2010,,9960/3
9840/3,2001,,2010,,9961/3
9840/3,2001,,2010,,9962/3
9840/3,2001,,2010,,9963/3
9840/3,2001,,2010,,9964/3
9840/3,2001,,2010,,9975/3
9840/3,2001,,2010,,9980/3
9840/3,2001,,2010,,9982/3
9840/3,2001,,2010,,9983/3
9840/3,2001,,2010,,9984/3
9840/3,2001,,2010,,9985/3
9840/3,2001,,2010,,9986/3
9840/3,2001,,2010,,9987/3
9840/3,2001,,2010,,9989/3
9840/3,2001,,2010,,9991/3
9840/3,2001,,2010,,9992/3
9840/3,2001,,2021,,9993/3
9912/3,2021,,2021,,9875/3
9912/3,2021,,2021,,9920/3
9912/3,2021,,2021,,9945/3
9912/3,2021,,2021,,9950/3
9912/3,2021,,2021,,9960/3
9912/3,2021,,2021,,9961/3
9912/3,2021,,2021,,9962/3
9912/3,2021,,2021,,9963/3
9912/3,2021,,2021,,9964/3
9912/3,2021,,2021,,9965/3
9912/3,2021,,2021,,9967/3
9912/3,2021,,2021,,9975/3
9912/3,2021,,2021,,9980/3
9912/3,2021,,2021,,9982/3
9912/3,2021,,2021,,9983/3
9912/3,2021,,2021,,9984/3
9912/3,2021,,2021,,9985/3
9912/3,2021,,2021,,9986/3
9912/3,2021,,2021,,9987/3
9912/3,2021,,2021,,9989/3
9912/3,2021,,2021,,9991/3
9912/3,2021,,2021,,9992/3
9912/3,2021,,2021,,9993/3
9877/3,2021,,2021,,9875/3
9877/3,2021,,2021,,9920/3
9877/3,2021,,2021,,9945/3
9877/3,2021,,2021,,9950/3
9877/3,2021,,2021,,9960/3
9877/3,2021,,2021,,9961/3
9877/3,2021,,2021,,9962/3
9877/3,2021,,2021,,9963/3
9877/3,2021,,2021,,9964/3
9877/3,2021,,2021,,9975/3
9877/3,2021,,2021,,9980/3
9877/3,2021,,2021,,9982/3
9877/3,2021,,2021,,9983/3
9877/3,2021,,2021,,9984/3
9877/3,2021,,2021,,9985/3
9877/3,2021,,2021,,9986/3
9877/3,2021,,2021,,9987/3
9877/3,2021,,2021,,9989/3
9877/3,2021,,2021,,9991/3
9877/3,2021,,2021,,9992/3
9877/3,2021,,2021,,9993/3
9831/3,2010,,2010,,9709/3
9879/3,2021,,2021,,9875/3
9879/3,2021,,2021,,9920/3
9879/3,2021,,2021,,9945/3
9879/3,2021,,2021,,9950/3
9879/3,2021,,2021,,9960/3
9879/3,2021,,2021,,9961/3
9879/3,2021,,2021,,9962/3
9879/3,2021,,2021,,9963/3
9879/3,2021,,2021,,9964/3
9879/3,2021,,2021,,9965/3
9879/3,2021,,2021,,9967/3
9879/3,2021,,2021,,9975/3
9879/3,2021,,2021,,9980/3
9879/3,2021,,2021,,9982/3
9879/3,2021,,2021,,9983/3
9879/3,2021,,2021,,9984/3
9879/3,2021,,2021,,9985/3
9879/3,2021,,2021,,9986/3
9879/3,2021,,2021,,9987/3
9879/3,2021,,2021,,9989/3
9879/3,2021,,2021,,9991/3
9879/3,2021,,2021,,9992/3
9879/3,2021,,2021,,9993/3
